id,common_name,smiles_isomeric
ToxinDB,Radium-226,[Ra]
ToxinDB,Thorium,[Th]
ToxinDB,"4,6-Dinitro-o-cresol",CC1=CC(=CC(=C1O)[N+](=O)[O-])[N+](=O)[O-]
ToxinDB,"1,3,5-Trinitrobenzene",C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
ToxinDB,Chlorobenzene,C1=CC=C(C=C1)Cl
ToxinDB,Radon,[Rn]
ToxinDB,Radium-228,[228Ra]
ToxinDB,Thorium-230,[230Th]
ToxinDB,Uranium-235,[235U]
ToxinDB,Barium,[Ba++]
ToxinDB,Fluoranthene,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4
ToxinDB,Uranium-234,[234U]
ToxinDB,n-Nitrosodi-n-propylamine,CCCN(CCC)N=O
ToxinDB,Thorium-228,[228Th]
ToxinDB,Radon-222,[222Rn]
ToxinDB,"Hexachlorocyclohexane, alpha-",C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,"1,2,3-Trichlorobenzene",C1=CC(=C(C(=C1)Cl)Cl)Cl
ToxinDB,Manganese,[Mn++]
ToxinDB,Chrysotile asbestos,O.O[Si]([O-])([O-])[O-].O[Si]([O-])([O-])[O-].[Mg+2].[Mg+2].[Mg+2]
ToxinDB,Strontium-90,[90Sr]
ToxinDB,Plutonium-239,[239Pu]
ToxinDB,Polonium-210,[210Po]
ToxinDB,Methylmercury,C[Hg+]
ToxinDB,Plutonium-238,[238Pu]
ToxinDB,Plutonium,[Pu]
ToxinDB,Chlorpyrifos,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl
ToxinDB,Copper,[Cu++]
ToxinDB,Americium-241,[241Am]
ToxinDB,Radon-220,[220Rn]
ToxinDB,Amosite asbestos,
ToxinDB,Iodine-131,[131I][131I]
ToxinDB,Hydrogen cyanide,C#N
ToxinDB,Tributyltin,CCCC[Sn](CCCC)CCCC
ToxinDB,Guthion,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1
ToxinDB,Neptunium-237,[237Np]
ToxinDB,Chrysene,C1=CC=C2C(=C1)C=CC3=C2C=CC4=CC=CC=C43
ToxinDB,Chlordecone,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,Iodine-129,[129IH]
ToxinDB,Plutonium-240,[240Pu]
ToxinDB,"S,S,S-Tributyl phosphorotrithioate",CCCCSP(=O)(SCCCC)SCCCC
ToxinDB,Bromine,[Br-]
ToxinDB,Polybrominated biphenyls,C1=C(C(=CC(=C1Br)Br)Br)C2=CC(=C(C=C2Br)Br)Br
ToxinDB,Dicofol,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)(C(Cl)(Cl)Cl)O)Cl
ToxinDB,Parathion,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O
ToxinDB,"1,1,2,2-Tetrachloroethane",C(C(Cl)Cl)(Cl)Cl
ToxinDB,Selenium,[Se--]
ToxinDB,"Hexachlorocyclohexane, technical Grade",C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,"DDD, O,P'-",C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl
ToxinDB,"4,4'-Methylenebis(2-chloroaniline)",C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)Cl)Cl)N
ToxinDB,Hexachlorodibenzo-p-dioxin,
ToxinDB,Heptachlorodibenzo-p-dioxin,CC1=C(C(CC1)C(C)C)CCC(C)O
ToxinDB,"1,3-Butadiene",C=CC=C
ToxinDB,Ammonia,N
ToxinDB,2-Methylnaphthalene,CC1=CC2=CC=CC=C2C=C1
ToxinDB,"1,4-Dichlorobenzene",C1=CC(=CC=C1Cl)Cl
ToxinDB,"1,1-Dichloroethane",CC(Cl)Cl
ToxinDB,Acenaphthene,C1CC2=CC=CC3=C2C1=CC=C3
ToxinDB,"1,2,3,4,6,7,8,9-Octachlorodibenzofuran",C12=C(C(=C(C(=C1Cl)Cl)Cl)Cl)OC3=C2C(=C(C(=C3Cl)Cl)Cl)Cl
ToxinDB,"1,1,2-Trichloroethane",C(C(Cl)Cl)Cl
ToxinDB,Hexachlorocyclopentadiene,C1(=C(C(C(=C1Cl)Cl)(Cl)Cl)Cl)Cl
ToxinDB,Heptachlorodibenzofuran,C1=C2C3=C(C(=C(C(=C3Cl)Cl)Cl)Cl)OC2=C(C(=C1Cl)Cl)Cl
ToxinDB,"1,2-Diphenylhydrazine",C1=CC=C(C=C1)NNC2=CC=CC=C2
ToxinDB,"2,3,4,7,8-Pentachlorodibenzofuran",C1=C2C3=CC(=C(C(=C3OC2=CC(=C1Cl)Cl)Cl)Cl)Cl
ToxinDB,"Cresol, para-",CC1=CC=C(O)C=C1
ToxinDB,"1,2-Dichlorobenzene",C1=CC=C(C(=C1)Cl)Cl
ToxinDB,"1,2-Dichloroethene, trans-",C(=C/Cl)\Cl
ToxinDB,"Indeno(1,2,3-cd)pyrene",C1=CC=C2C(=C1)C3=C4C2=CC5=CC=CC6=C5C4=C(C=C6)C=C3
ToxinDB,Carbon disulfide,C(=S)=S
ToxinDB,"2,3,4,5-Tetrachlorophenol",C1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)O
ToxinDB,Americium,[Am]
ToxinDB,Uranium-233,[233U]
ToxinDB,Palladium,[Pd]
ToxinDB,Hexachlorodibenzofuran,C1=CC(=C(C2=C1OC3=C2C(=C(C(=C3Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,Phenol,OC1=CC=CC=C1
ToxinDB,Chloroethane,CCCl
ToxinDB,Acetone,CC(C)=O
ToxinDB,"Xylene, para-",CC1=CC=C(C=C1)C
ToxinDB,Aluminum,[Al+3]
ToxinDB,Carbon monoxide,[C]#[O]
ToxinDB,Hydrogen sulfide,S
ToxinDB,Pentachlorodibenzofuran,C1=CC(=C2C(=C1Cl)C3=C(O2)C(=CC(=C3Cl)Cl)Cl)Cl
ToxinDB,"Cresol, ortho-",CC1=CC=CC=C1O
ToxinDB,Vanadium,[V+3]
ToxinDB,n-Nitrosodimethylamine,CN(C)N=O
ToxinDB,"1,2,4-Trichlorobenzene",C1=CC(=C(C=C1Cl)Cl)Cl
ToxinDB,Tetrachlorodibenzo-p-dioxin,
ToxinDB,Pentachlorodibenzo-p-dioxin,
ToxinDB,"2,3,7,8-Tetrachlorodibenzofuran",C1=C2C3=CC(=C(C=C3OC2=CC(=C1Cl)Cl)Cl)Cl
ToxinDB,"2,4-Dichlorophenol",OC1=CC=C(Cl)C=C1Cl
ToxinDB,Fluorine,[F-]
ToxinDB,Nitrite,[O-]N=O
ToxinDB,Cesium-137,[137Cs]
ToxinDB,Silver,[Ag+]
ToxinDB,Chromic acid,O[Cr](=O)(=O)O
ToxinDB,Nitrate,[O-][N+]([O-])=O
ToxinDB,Potassium-40,[40K]
ToxinDB,Dinitrotoluene,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]
ToxinDB,Antimony,[Sb+3]
ToxinDB,Thorium-227,[227Th]
ToxinDB,"2,4,5-Trichlorophenol",C1=C(C(=CC(=C1Cl)Cl)Cl)O
ToxinDB,Arsenic acid,O[As](=O)(O)O
ToxinDB,Arsenic trioxide,O1[As]2O[As]1O2
ToxinDB,Phorate,CCOP(=S)(OCC)SCSCC
ToxinDB,Benzo[e]pyrene,C1=CC=C2C(=C1)C3=CC=CC4=C3C5=C(C=CC=C25)C=C4
ToxinDB,Cresols,CC1=CC=C(O)C=C1
ToxinDB,"Chlordane, technical",C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
ToxinDB,Dimethoate,CNC(=O)CSP(=S)(OC)OC
ToxinDB,Actinium-227,[227Ac]
ToxinDB,4-Aminobiphenyl,C1=CC=C(C=C1)C2=CC=C(C=C2)N
ToxinDB,Pyrethrum,CC1=C(C(=O)C[C@@H]1OC(=O)[C@@H]2[C@H](C2(C)C)/C=C(\C)/C(=O)OC)C/C=C/C=C
ToxinDB,Arsine,[AsH3]
ToxinDB,Naled,COP(=O)(OC)OC(C(Cl)(Cl)Br)Br
ToxinDB,Chlorinated dibenzofurans,C1=CC=C2C(=C1)C3=C(O2)C=CC=C3Cl
ToxinDB,Ethoprop,CCCSP(=O)(OCC)SCCC
ToxinDB,Dichlorvos,COP(=O)(OC)OC=C(Cl)Cl
ToxinDB,Calcium arsenate,[O-][As](=O)([O-])[O-].[O-][As](=O)([O-])[O-].[Ca+2].[Ca+2].[Ca+2]
ToxinDB,Mercuric chloride,Cl[Hg]Cl
ToxinDB,Sodium arsenite,[O-][As]=O.[Na+]
ToxinDB,Formaldehyde,C=O
ToxinDB,2-Chlorophenol,C1=CC=C(C(=C1)O)Cl
ToxinDB,Phenanthrene,C1=CC=C2C(=C1)C=CC3=CC=CC=C32
ToxinDB,Hydrogen fluoride,F
ToxinDB,Dibromochloromethane,C(Cl)(Br)Br
ToxinDB,Dimethyl formamide,CN(C)C=O
ToxinDB,Pyrene,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2
ToxinDB,Ethyl ether,CCOCC
ToxinDB,4-Nitrophenol,OC1=CC=C(C=C1)[N+]([O-])=O
ToxinDB,Phosphine,P
ToxinDB,Trichlorobenzene,C1=CC(=C(C(=C1)Cl)Cl)Cl
ToxinDB,"2,6-Dinitrotoluene",CC1=C(C=CC=C1[N+](=O)[O-])[N+](=O)[O-]
ToxinDB,Fluoride ion,[F-]
ToxinDB,Methyl parathion,COP(=S)(OC)OC1=CC=C(C=C1)[N+](=O)[O-]
ToxinDB,Pentaerythritol tetranitrate,C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-]
ToxinDB,Styrene,C=CC1=CC=CC=C1
ToxinDB,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",C1=C2C3=C(C(=C(C(=C3Cl)Cl)Cl)Cl)OC2=C(C(=C1Cl)Cl)Cl
ToxinDB,Adamsite,C1=CC=C2C(=C1)NC3=CC=CC=C3[As]2Cl
ToxinDB,Arsenic trisulfide,S.[As]
ToxinDB,Arsenic disulfide,S[As]
ToxinDB,Arsenic pentasulfide,S.S.S.S.S.[As].[As]
ToxinDB,Arsenic trichloride,Cl[As](Cl)Cl
ToxinDB,Arsenous acid,[O-][As]=O.[Na+]
ToxinDB,Arsenenic acid,[O-][As]([O-])[O-]
ToxinDB,Ammonium arsenate,[NH4+].[NH4+].O[As](=O)([O-])[O-]
ToxinDB,Copper(II) arsenite,O[As]([O-])[O-].[Cu+2]
ToxinDB,Gallium arsenide,[Ga]#[As]
ToxinDB,Copper arsenate,
ToxinDB,Copper arsenate hydroxide,
ToxinDB,Potassium arsenite,[O-][As]([O-])[O-].[K+]
ToxinDB,Arsenic pentoxide,O=[As](=O)O[As](=O)=O
ToxinDB,Magnesium arsenate,[O-][As](=O)([O-])[O-].[O-][As](=O)([O-])[O-].[Mg+2].[Mg+2].[Mg+2]
ToxinDB,Manganese arsenate,[O-][As](=O)([O-])[O-].[O-][As](=O)([O-])[O-].[Mn+2].[Mn+2].[Mn+2]
ToxinDB,Lead arsenate,O[As](=O)([O-])[O-].[Pb+2]
ToxinDB,Potassium arsenate,O[As](=O)(O)[O-].[K+]
ToxinDB,Sodium arsenate,O[As](=O)(O)[O-].[Na+]
ToxinDB,Zinc arsenate,
ToxinDB,Arsanilic acid,C1=CC(=CC=C1N)[As](=O)(O)O
ToxinDB,Arsenobetaine,C[As+](C)(C)CC(=O)[O-]
ToxinDB,Arsenocholine,C[As+](C)(C)CCO
ToxinDB,Methylarsine,C[AsH2]
ToxinDB,Dimethylarsine,C[AsH]C
ToxinDB,Trimethylarsine,C[As](C)C
ToxinDB,Methylarsonic acid,C[As](=O)(O)O
ToxinDB,"Methylarsonic acid, disodium salt",C[As](=O)(O)O
ToxinDB,"Methylarsonic acid, monosodium salt",C[As](=O)(O)[O-].[Na+]
ToxinDB,Benzenearsonic acid,C1=CC=C(C=C1)[As](=O)(O)O
ToxinDB,3-Nitro-4-hydroxy-phenyl-arsonic acid,C1=CC(=C(C=C1[As](=O)(O)O)[N+](=O)[O-])O
ToxinDB,"4,4-Arsenobis(2-aminophenol) dihydrochloride",C1=CC(=C(C=C1[As]=[As]C2=CC(=C(C=C2)O)N)N)O.Cl.Cl
ToxinDB,[4-(Aminocarbonyl-amino)phenyl] arsonic acid,C1=CC(=CC=C1NC(=O)N)[As](=O)(O)O
ToxinDB,[4-[(2-Amino-2-oxoethyl)amino]phenyl] arsonic acid,C1=CC(=CC=C1NCC(=O)N)[As](=O)(O)[O-].[Na+]
ToxinDB,(4-Nitrophenyl)arsonic acid,C1=CC(=CC=C1[N+](=O)[O-])[As](=O)(O)O
ToxinDB,Sodium arsanilate,C1=CC(=CC=C1N)[As](=O)(O)[O-].[Na+]
ToxinDB,Sodium dimethylarsinate,C[As](=O)(C)O.[Na+]
ToxinDB,Trimethylarsine oxide,C[As](=O)(C)C
ToxinDB,Lead acetate,CC(=O)[O-].CC(=O)[O-].[Pb+2]
ToxinDB,Lead arsenite,[O-][As]=O.[O-][As]=O.[Pb+2]
ToxinDB,Lead azide,[N-]=[N+]=N[Pb]N=[N+]=[N-]
ToxinDB,Lead bromide,Br[Pb]Br
ToxinDB,Lead carbonate,C(=O)([O-])[O-].[Pb+2]
ToxinDB,Lead chloride,Cl[Pb]Cl
ToxinDB,Lead chromate,[O-][Cr](=O)(=O)[O-].[Pb+2]
ToxinDB,Lead fluoroborate,
ToxinDB,Lead iodide,I[Pb]I
ToxinDB,Lead molybdenum chromate,[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Cr+3].[Cr+3].[Mo].[Mo].[Pb+2].[Pb+2]
ToxinDB,Lead nitrate,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Pb+2]
ToxinDB,Lead oxide,O=[Pb]
ToxinDB,Lead dioxide,O=[Pb]=O
ToxinDB,Lead tetroxide,O=[Pb]
ToxinDB,Lead phosphate,[O-]P(=O)([O-])[O-].[O-]P(=O)([O-])[O-].[Pb+2].[Pb+2]
ToxinDB,Lead styphnate,C1=C(C(=C(C(=C1[N+](=O)[O-])[O-])[N+](=O)[O-])[O-])[N+](=O)[O-].[Pb+2]
ToxinDB,Lead sulfate,[O-]S(=O)(=O)[O-].[Pb+2]
ToxinDB,Lead sulfide,S=[Pb]
ToxinDB,Tetramethyl lead,C[Pb](C)(C)C
ToxinDB,Tetraethyl lead,CC[Pb](CC)(CC)CC
ToxinDB,Mercury(II) fulminate,C(#[N+][O-])[Hg]C#[N+][O-]
ToxinDB,Mercury(II) sulfide,S=[Hg]
ToxinDB,Mercury(II) oxide,O=[Hg]
ToxinDB,Mercury(I) chloride,Cl[Hg].Cl[Hg]
ToxinDB,Phenylmercuric acetate,CC(=O)O[Hg]C1=CC=CC=C1
ToxinDB,Mercury selenide,[Se-2].[Hg+2]
ToxinDB,Mercury telluride,[Te]=[Hg]
ToxinDB,Mercury cadmium telluride,[Cd]=[Te]=[Hg]
ToxinDB,Mercury(II) acetate,CC(=O)[O-].CC(=O)[O-].[Hg+2]
ToxinDB,Mercury(I) acetate,CC(=O)[O-].[Hg+]
ToxinDB,Mercury(II) iodide,I[Hg]I
ToxinDB,Mercury(I) iodide,I[Hg].I[Hg]
ToxinDB,Mercury(I) bromide,Br[Hg].Br[Hg]
ToxinDB,Mercury(II) bromide,Br[Hg]Br
ToxinDB,Mercury(II) nitrate,[N+](=O)(O)[O-].[Hg]
ToxinDB,Mercury(I) nitrate,[N+](=O)(O)[O-].[Hg]
ToxinDB,Mercury(II) thiocyanate,C(#N)[S-].C(#N)[S-].C(#N)[S-].C(#N)[S-].[K+].[K+].[Hg+2]
ToxinDB,Mercury(II) sulfate,[O-]S(=O)(=O)[O-].[Hg+2]
ToxinDB,Mercury(I) sulfate,[O-]S(=O)(=O)[O-].[Hg+2]
ToxinDB,Methylmercuric chloride,C1[C@H](C[C@H]([C@H]1CO)O)N2C=C(C(=O)NC2=O)/C=C/Br
ToxinDB,Dimethyl mercury,C[Hg]C
ToxinDB,Mercuric potassium iodide,[K+].[K+].I[Hg-2](I)(I)I
ToxinDB,Mercury(II) cyanide,C(#N)[Hg]C#N
ToxinDB,Cadmium acetate,CC(=O)[O-].CC(=O)[O-].[Cd+2]
ToxinDB,Cadmium acetate hydrate,
ToxinDB,Cadmium acetate dihydrate,CC(=O)[O-].CC(=O)[O-].O.O.[Cd+2]
ToxinDB,Cadmium arsenide,[As]=[Cd].[As]=[Cd].[Cd]
ToxinDB,Cadmium bromate,[O-]Br(=O)=O.[O-]Br(=O)=O.[Cd+2]
ToxinDB,Cadmium bromide,[Br-].[Br-].[Cd+2]
ToxinDB,Cadmium carbonate,C(=O)([O-])[O-].[Cd+2]
ToxinDB,Cadmium chloride,Cl[Cd]Cl
ToxinDB,Cadmium fluoborate,
ToxinDB,Cadmium fluoride,[F-].[F-].[Cd+2]
ToxinDB,Cadmium fluosilicate,[F-].[F-].[F-].[F-].[F-].[F-].[Si+4].[Cd+2]
ToxinDB,Cadmium hydroxide,[OH-].[OH-].[Cd+2]
ToxinDB,Cadmium iodide,[Cd+2].[I-].[I-]
ToxinDB,Cadmium lactate,CC(C(=O)[O-])O.CC(C(=O)[O-])O.[Cd+2]
ToxinDB,Cadmium nitrate,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Cd+2]
ToxinDB,Cadmium nitrate tetrahydrate,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Cd+2]
ToxinDB,Cadmium oxide fume,O=[Cd]
ToxinDB,Cadmium phosphate,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1C3=CC=CC=C3)Cl.I
ToxinDB,Cadmium selenide,[Se]=[Cd]
ToxinDB,Cadmium succinate,C(CC(=O)[O-])C(=O)[O-].[Cd+2]
ToxinDB,Cadmium sulfate,[O-]S(=O)(=O)[O-].[Cd+2]
ToxinDB,Cadmium sulfate hydrate,O.[O-]S(=O)(=O)[O-].[Cd+2]
ToxinDB,Cadmium sulphide,S=[Cd]
ToxinDB,Cadmium telluride,[Cd]=[Te]
ToxinDB,Cadmium tungstate,O[W](=O)(=O)O.[Cd]
ToxinDB,Diphenyl,C1=CC=C(C=C1)C2=CC=CC=C2
ToxinDB,2-Chlorobiphenyl,C1=CC=C(C=C1)C2=CC=CC=C2Cl
ToxinDB,3-Chlorobiphenyl,C1=CC=C(C=C1)C2=CC(=CC=C2)Cl
ToxinDB,4-Chlorobiphenyl,C1=CC=C(C=C1)C2=CC=C(C=C2)Cl
ToxinDB,"2,2'-Dichlorobiphenyl",C1=CC=C(C(=C1)C2=CC=CC=C2Cl)Cl
