"FDAapprovedDrugs","silver(1+) ion 4-{[(pyrimidin-2-yl)azanidyl]sulfonyl}aniline,[Ag+].NC1=CC=C(C=C1)S(=O)(=O)[N-]C1=NC=CC=N1"
"FDAapprovedDrugs","N-[(1S)-3-amino-1-{[(1S,2R)-1-{[(1S)-3-amino-1-{[(3S,6S,9S,12S,15R,18S,21S)-6,9,18-tris(2-aminoethyl)-3-[(1R)-1-hydroxyethyl]-12,15-bis(2-methylpropyl)-2,5,8,11,14,17,20-heptaoxo-1,4,7,10,13,16,19-heptaazacyclotricosan-21-yl]carbamoyl}propyl]carbamoyl}-2-hydroxypropyl]carbamoyl}propyl]-5-methylheptanamide","[H][C@]1(NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC(=O)[C@H](CCNC1=O)NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)CCCC(C)CC)[C@@H](C)O)[C@@H](C)O"
"FDAapprovedDrugs","(2S,3R,4R,5S,6R)-2-(3-{[5-(4-fluorophenyl)thiophen-2-yl]methyl}-4-methylphenyl)-6-(hydroxymethyl)oxane-3,4,5-triol","[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=CC=C(C)C(CC2=CC=C(S2)C2=CC=C(F)C=C2)=C1"
"FDAapprovedDrugs","(2R,3R,4S)-4-[(diaminomethylidene)amino]-3-acetamido-2-[(1R,2R)-1,2,3-trihydroxypropyl]-3,4-dihydro-2H-pyran-6-carboxylic acid","[H][C@]1(OC(=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO"
"FDAapprovedDrugs","(4R,5S,6S)-3-{[(3S,5S)-5-[(3-carboxyphenyl)carbamoyl]pyrrolidin-3-yl]sulfanyl}-6-[(1R)-1-hydroxyethyl]-4-methyl-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid","[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@@]([H])(C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O"
"FDAapprovedDrugs","(1S,3R,7S,8S,8aR)-8-{2-[(2R,4R)-4-hydroxy-6-oxooxan-2-yl]ethyl}-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl (2S)-2-methylbutanoate","[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC"
"FDAapprovedDrugs","(1S,3R,7S,8S,8aR)-8-{2-[(2R,4R)-4-hydroxy-6-oxooxan-2-yl]ethyl}-3,7-dimethyl-1,2,3,7,8,8a-hexahydronaphthalen-1-yl 2,2-dimethylbutanoate","[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC"
"FDAapprovedDrugs","(3R,5R)-7-[(1S,2S,6S,8S,8aR)-6-hydroxy-2-methyl-8-{[(2S)-2-methylbutanoyl]oxy}-1,2,6,7,8,8a-hexahydronaphthalen-1-yl]-3,5-dihydroxyheptanoic acid","[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC"
"FDAapprovedDrugs","(2R,3S,6R)-4-methoxy-16,18-dioxa-10-azapentacyclo[11.7.0.0^{2,6}.0^{6,10}.0^{15,19}]icosa-1(13),4,14,19-tetraen-3-yl 1-methyl 3-hydroxy-3-(4-hydroxy-4-methylpentyl)butanedioate","[H][C@]12[C@H](OC(=O)C(O)(CCCC(C)(C)O)CC(=O)OC)C(OC)=C[C@@]11CCCN1CCC1=CC3=C(OCO3)C=C21"
"FDAapprovedDrugs","(1S,2S,3R,4S,7R,9S,10S,12R,15S)-4,12-bis(acetyloxy)-1,9-dihydroxy-15-{[(2R,3S)-2-hydroxy-3-phenyl-3-(phenylformamido)propanoyl]oxy}-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.0^{3,10}.0^{4,7}]heptadec-13-en-2-yl benzoate","[H][C@]12[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C4=CC=CC=C4)C4=CC=CC=C4)C(C)=C([C@@H](OC(C)=O)C(=O)[C@]1(C)[C@@H](O)C[C@H]1OC[C@@]21OC(C)=O)C3(C)C"
"FDAapprovedDrugs","(1R,12S)-5,8,14-triazatetracyclo[10.3.1.0^{2,11}.0^{4,9}]hexadeca-2(11),3,5,7,9-pentaene","[H][C@]12C[C@]([H])(CNC1)C1=CC3=NC=CN=C3C=C21"
"FDAapprovedDrugs","(4S,4aS,5aS,6S,12aS)-7-chloro-4-(dimethylamino)-3,6,10,12,12a-pentahydroxy-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide","[H][C@]12C[C@@]3([H])[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C(=O)C1=C([C@H]2O)C(Cl)=CC=C1O"
"FDAapprovedDrugs","5-[(3aR,4R,5R,6aS)-5-hydroxy-4-[(1E,3S)-3-hydroxyoct-1-en-1-yl]-hexahydro-2H-cyclopenta[b]furan-2-ylidene]pentanoic acid","[H][C@]12C[C@@H](O)[C@H](\C=C\[C@@H](O)CCCCC)[C@@]1([H])CC(O2)=CCCCC(O)=O"
"FDAapprovedDrugs","2-{[(1R,2R,3aS,9aS)-2-hydroxy-1-[(3S)-3-hydroxyoctyl]-1H,2H,3H,3aH,4H,9H,9aH-cyclopenta[b]naphthalen-5-yl]oxy}acetic acid","[H][C@]12C[C@@H](O)[C@H](CC[C@@H](O)CCCCC)[C@@]1([H])CC1=C(C2)C(OCC(O)=O)=CC=C1"
"FDAapprovedDrugs","(1S,12S,14R)-9-methoxy-4-methyl-11-oxa-4-azatetracyclo[8.6.1.0^{1,12}.0^{6,17}]heptadeca-6,8,10(17),15-tetraen-14-ol","[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=C1C(O2)=C(OC)C=C3"
"FDAapprovedDrugs","(1R,3S,5R,6R,9R,11R,15S,16R,17R,18S,33R,35S,36R,37S)-33-{[(2R,3S,4S,5S,6R)-4-amino-3,5-dihydroxy-6-methyloxan-2-yl]oxy}-1,3,5,6,9,11,17,37-octahydroxy-15,16,18-trimethyl-13-oxo-14,39-dioxabicyclo[33.3.1]nonatriaconta-19,21,23,25,27,29,31-heptaene-36-carboxylic acid","[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2"
"FDAapprovedDrugs","methyl (1R,15S,17R,18R,19S,20S)-6,18-dimethoxy-17-{[3-(3,4,5-trimethoxyphenyl)prop-2-enoyl]oxy}-3,13-diazapentacyclo[11.8.0.0^{2,10}.0^{4,9}.0^{15,20}]henicosa-2(10),4,6,8-tetraene-19-carboxylate","[H][C@]12C[C@@H](OC(=O)C=CC3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2"
"FDAapprovedDrugs","methyl (1R,15S,17R,18R,19S,20S)-6,18-dimethoxy-17-[(3,4,5-trimethoxyphenyl)carbonyloxy]-3,13-diazapentacyclo[11.8.0.0^{2,10}.0^{4,9}.0^{15,20}]henicosa-2(10),4,6,8-tetraene-19-carboxylate","[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2"
"FDAapprovedDrugs","methyl (1R,15S,17R,18R,19S,20S)-18-methoxy-17-[(3,4,5-trimethoxyphenyl)carbonyloxy]-3,13-diazapentacyclo[11.8.0.0^{2,10}.0^{4,9}.0^{15,20}]henicosa-2(10),4,6,8-tetraene-19-carboxylate","[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=CC=CC=C31)C2"
"FDAapprovedDrugs","(2S,3aS,7aS)-1-[(2S)-2-{[(2S)-1-ethoxy-1-oxopentan-2-yl]amino}propanoyl]-octahydro-1H-indole-2-carboxylic acid","[H][C@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O"
"FDAapprovedDrugs","(3R)-10-oxo-8-azatricyclo[5.3.1.0^{3,8}]undecan-5-yl 1H-indole-3-carboxylate","[H][C@]12CC(CC3CC(C1)C(=O)CN23)OC(=O)C1=CNC2=CC=CC=C12"
"FDAapprovedDrugs","(2S)-2-{[(3aS,7aS)-1-({2-[(2S)-2-[(2S)-2-(2-{[(4R)-1-[(1-{2-[(2R)-2-amino-5-[(diaminomethylidene)amino]pentanamido]-5-[(diaminomethylidene)amino]pentanoyl}pyrrolidin-2-yl)carbonyl]-4-hydroxypyrrolidin-2-yl]formamido}acetamido)-3-(thiophen-2-yl)propanamido]-3-hydroxypropanoyl]-1,2,3,4-tetrahydroisoquinolin-3-yl}carbonyl)-octahydro-1H-indol-2-yl]formamido}-5-[(diaminomethylidene)amino]pentanoic acid","[H][C@]12CC(N(C(=O)C3CC4=CC=CC=C4CN3C(=O)[C@H](CO)NC(=O)[C@H](CC3=CC=CS3)NC(=O)CNC(=O)C3C[C@@H](O)CN3C(=O)C3CCCN3C(=O)C(CCCN=C(N)N)NC(=O)[C@H](N)CCCN=C(N)N)[C@@]1([H])CCCC2)C(=O)N[C@@H](CCCN=C(N)N)C(O)=O"
"FDAapprovedDrugs","(5R,6S)-3-({2-[(E)-(aminomethylidene)amino]ethyl}sulfanyl)-6-[(1R)-1-hydroxyethyl]-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid","[H][C@]12CC(SCC\N=C\N)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O"
"FDAapprovedDrugs","methyl (1R,2R,3S,5S)-3-(benzoyloxy)-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylate","[H][C@]12CC[C@]([H])([C@H]([C@H](C1)OC(=O)C1=CC=CC=C1)C(=O)OC)N2C"
"FDAapprovedDrugs","(1R,3R,5S)-3-(diphenylmethoxy)-8-methyl-8-azabicyclo[3.2.1]octane","[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C"
"FDAapprovedDrugs","4,4-difluoro-N-[(1S)-3-[(1R,5S)-3-[3-methyl-5-(propan-2-yl)-4H-1,2,4-triazol-4-yl]-8-azabicyclo[3.2.1]octan-8-yl]-1-phenylpropyl]cyclohexane-1-carboxamide","[H][C@]12CC[C@]([H])(CC(C1)N1C(C)=NN=C1C(C)C)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)C1=CC=CC=C1"
"FDAapprovedDrugs","4-[(1S,2S,5S,7R,10R,11S,14R,15S,16R)-5-{[(2R,4S,5S,6R)-5-{[(2S,4S,5S,6R)-5-{[(2S,4S,5S,6R)-4,5-dihydroxy-6-methyloxan-2-yl]oxy}-4-hydroxy-6-methyloxan-2-yl]oxy}-4-hydroxy-6-methyloxan-2-yl]oxy}-11,16-dihydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]-2,5-dihydrofuran-2-one","[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1"
"FDAapprovedDrugs","4-[(1S,2S,5S,7R,10R,11S,14R,15R)-5-{[(2R,4S,5S,6R)-5-{[(2S,4S,5S,6R)-5-{[(2S,4S,5S,6R)-4,5-dihydroxy-6-methyloxan-2-yl]oxy}-4-hydroxy-6-methyloxan-2-yl]oxy}-4-hydroxy-6-methyloxan-2-yl]oxy}-11-hydroxy-2,15-dimethyltetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]-2,5-dihydrofuran-2-one","[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1"
"FDAapprovedDrugs","(9R)-10-methyl-10-azatetracyclo[7.7.1.0^{2,7}.0^{13,17}]heptadeca-1(16),2(7),3,5,13(17),14-hexaene-3,4-diol","[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23"
"FDAapprovedDrugs","(2R,8R)-2-(2H-1,3-benzodioxol-5-yl)-6-methyl-3,6,17-triazatetracyclo[8.7.0.0^{3,8}.0^{11,16}]heptadeca-1(10),11,13,15-tetraene-4,7-dione","[H][C@]12CC3=C(NC4=CC=CC=C34)[C@H](N1C(=O)CN(C)C2=O)C1=CC2=C(OCO2)C=C1"
"FDAapprovedDrugs","3-{[(1R,2S,5S)-3-[(2S)-2-[(tert-butylcarbamoyl)amino]-3,3-dimethylbutanoyl]-6,6-dimethyl-3-azabicyclo[3.1.0]hexan-2-yl]formamido}-4-cyclobutyl-2-oxobutanamide","[H][C@]12CN([C@H](C(=O)NC(CC3CCC3)C(=O)C(N)=O)[C@@]1([H])C2(C)C)C(=O)[C@@H](NC(=O)NC(C)(C)C)C(C)(C)C"
"FDAapprovedDrugs","7-[(4aS,7aS)-octahydro-1H-pyrrolo[3,4-b]pyridin-6-yl]-1-cyclopropyl-6-fluoro-8-methoxy-4-oxo-1,4-dihydroquinoline-3-carboxylic acid","[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O"
"FDAapprovedDrugs","(10R,11R,15R,16S)-16-{[(2R,4aR,6R,7R,8R,8aS)-7,8-dihydroxy-2-methyl-hexahydro-2H-pyrano[3,2-d][1,3]dioxin-6-yl]oxy}-10-(4-hydroxy-3,5-dimethoxyphenyl)-4,6,13-trioxatetracyclo[7.7.0.0^{3,7}.0^{11,15}]hexadeca-1(9),2,7-trien-12-one","[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@@H]1O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O"
"FDAapprovedDrugs","(10R,11R,15R,16S)-16-{[(4aR,6R,7R,8R,8aS)-7,8-dihydroxy-2-(thiophen-2-yl)-hexahydro-2H-pyrano[3,2-d][1,3]dioxin-6-yl]oxy}-10-(4-hydroxy-3,5-dimethoxyphenyl)-4,6,13-trioxatetracyclo[7.7.0.0^{3,7}.0^{11,15}]hexadeca-1(9),2,7-trien-12-one","[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@@H]1O[C@]2([H])COC(O[C@@]2([H])[C@H](O)[C@H]1O)C1=CC=CS1"
"FDAapprovedDrugs","(10R,11R,15R,16R)-16-hydroxy-10-(3,4,5-trimethoxyphenyl)-4,6,13-trioxatetracyclo[7.7.0.0^{3,7}.0^{11,15}]hexadeca-1(9),2,7-trien-12-one","[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(OC)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@@H]2O"
"FDAapprovedDrugs","5-[(3aS,4S,6aR)-2-oxo-hexahydro-1H-thieno[3,4-d]imidazolidin-4-yl]pentanoic acid","[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2"
"FDAapprovedDrugs","(3aS,8aR)-1,3a,8-trimethyl-1H,2H,3H,3aH,8H,8aH-pyrrolo[2,3-b]indol-5-yl N-methylcarbamate","[H][C@]12N(C)CC[C@@]1(C)C1=C(C=CC(OC(=O)NC)=C1)N2C"
"FDAapprovedDrugs","(1R,9S,12S,13S,14S,17R,21S,23S,24R,25S,27R)-12-[(1E)-1-[(1R,3R,4S)-4-chloro-3-methoxycyclohexyl]prop-1-en-2-yl]-17-ethyl-1,14-dihydroxy-23,25-dimethoxy-13,19,21,27-tetramethyl-11,28-dioxa-4-azatricyclo[22.3.1.0^{4,9}]octacos-18-ene-2,3,10,16-tetrone","[H][C@]12O[C@](O)([C@H](C)C[C@@H]1OC)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@H]([C@@H](C)[C@@H](O)CC(=O)[C@H](CC)\C=C(C)/C[C@H](C)C[C@@H]2OC)C(\C)=C\[C@@H]1CC[C@H](Cl)[C@@H](C1)OC"
"FDAapprovedDrugs","(1S,2R,6R,8S,11S,12S,15S,16S)-5,15-dihydroxy-2,16-dimethyl-7-oxapentacyclo[9.7.0.0^{2,8}.0^{6,8}.0^{12,16}]octadec-4-ene-4-carbonitrile","[H][C@]12O[C@]11CC[C@@]3([H])[C@]4([H])CC[C@H](O)[C@@]4(C)CC[C@]3([H])[C@@]1(C)CC(C#N)=C2O"
"FDAapprovedDrugs","(3R,3aS,6S,6aR)-6-hydroxy-hexahydrofuro[3,2-b]furan-3-yl nitrate","[H][C@]12OC[C@@H](O[N+]([O-])=O)[C@@]1([H])OC[C@@H]2O"
"FDAapprovedDrugs","(3R,3aS,6S,6aS)-6-(nitrooxy)-hexahydrofuro[3,2-b]furan-3-yl nitrate","[H][C@]12OC[C@H](O[N+]([O-])=O)[C@@]1([H])OC[C@H]2O[N+]([O-])=O"
